osm_way_id,street_name,road_type
7046204,Parelstraat,residential
7046215,Oesjesduiker,tertiary
7046218,unknown,tertiary
7046223,Sarphatistraat,tertiary
7046226,Zeeburgerstraat,tertiary
7046233,Zeeburgerdijk,tertiary
7046283,Eikenweg,residential
7046285,Tweede Oosterparkstraat,residential
7046291,Magersfonteinstraat,residential
7046292,Pretoriusstraat,residential
7046301,Cilliersstraat,residential
7046303,Retiefstraat,residential
7046343,Paardekraalstraat,residential
7046346,Retiefstraat,residential
7046353,Spitskopstraat,residential
7046361,Ingogostraat,residential
7046366,Louise Wentstraat,residential
7046369,Kazernestraat,residential
7046376,Smitstraat,residential
7046387,Derde Oosterparkstraat,residential
7046389,Cilliersstraat,residential
7046392,Laing's Nekstraat,residential
7046402,Pretoriusstraat,residential
7046411,Tweede Oosterparkstraat,residential
7046413,Kastanjeplein,residential
7046416,Kastanjeplein,residential
7046418,Derde Oosterparkstraat,residential
7046434,Wagenaarstraat,residential
7046436,Alexanderkade,cycleway
7046442,Derde Oosterparkstraat,residential
7046444,Derde Oosterparkstraat,residential
7046447,Reinwardtstraat,residential
7046457,Kastanjeweg,residential
7046459,Tweede Oosterparkstraat,residential
7046461,Tugelaweg,residential
7046465,Derde Oosterparkstraat,residential
7046468,Populierenweg,residential
7046473,Eikenplein,residential
7046476,Tweede Oosterparkstraat,residential
7046478,Kastanjeweg,residential
7046479,Kastanjeplein,residential
7046496,Johanna Westerdijkstraat,residential
7046497,Tweede van Swindenstraat,residential
7046499,Tweede van Swindenstraat,residential
7046501,Laing's Nekstraat,residential
7046518,Commelinstraat,residential
7046520,Alexanderkade,residential
7046524,Alexanderplein,residential
7046541,Van Swindendwarsstraat,residential
7046544,Pieter Nieuwlandstraat,residential
7046557,Linnaeusstraat,secondary
7046561,Linnaeusstraat,secondary
7046563,Linnaeusstraat,secondary
7046570,Linnaeusstraat,secondary
7046573,Oosterpark,tertiary
7046585,Mauritskade,primary
7046586,unknown,primary
10721681,Steve Bikoplein,residential
13422093,unknown,cycleway
22118549,Eikenweg,residential
22987501,Ooster Ringdijk,cycleway
23247567,Linnaeuskade,residential
